PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,sample,silicoDArT_cluster,cluster_k2,cluster_k3,cluster_k4,cluster_k5,cluster_k6,cluster_k7,best_k
3.7038092607942317,0.09982738787238322,4.737348108496657,4.219488178937292,-1.637125146637753,-6.802416166043407,-4.17171089277179,3.8990753676496546,3.5274358062466002,6.732182091929046,TSs119A,0,0,0,2,0,2,2,2
0.11709894729786731,3.35183072584561,-15.045560152001425,9.063358220424565,-1.101574158006845,-0.5136197698040783,3.1562602174958334,-3.5996447249002785,2.9008095418725723,-6.437093762646113,TSs166,0,0,0,2,2,0,6,2
3.999830174747354,-5.2116640209064276,-10.312121646149487,0.2187584499630411,7.975892338065721,-3.455990212715506,0.8795593308770605,0.506674775010621,-5.905138177787432,-3.7424113372150862,TSs297,0,0,0,2,2,4,3,2
-5.00296659725166,-1.07872626677067,2.4236157865230186,1.4321939219192668,-4.033697045331784,-11.316475010106588,0.6982646376092372,-4.3129007673104525,-0.8361725742450301,5.48756075038046,TSs338,0,0,0,2,0,2,2,2
-4.504501786181971,-0.5211077596112516,1.4784693010102514,6.812895579253921,7.504413237593573,1.4587787347640895,-3.975398310963233,-8.81205638150499,-1.5580133347287228,-4.875280657272169,TSs293,0,0,0,2,0,2,2,2
-1.4909258271712853,-0.008898581815146574,-12.728277305099216,9.294480821611886,4.628062185544958,5.272876678810058,-3.1367893486426306,4.644363931804269,-7.028501477885359,7.202073276615096,TSs24,0,0,0,2,2,0,3,2
-5.334983933376187,-13.574380399670222,4.721122484066214,-0.4247189252717875,14.344852570713392,1.4588991547950692,1.9790776928577867,-1.1251883186658687,-0.6231308674027607,-2.5511107720006136,TSs1A,0,0,1,0,4,4,4,2
3.9393738027536793,-0.6835299981160784,-3.197727461775687,-2.4591432884727458,-3.3578468196118134,-0.9682302410097471,15.422976436522084,-8.386019391713777,-11.288911808789969,8.055910554360208,TSs277,0,0,0,2,2,2,3,2
-6.251052350469553,-4.289575142140584,8.605210976764353,-9.858874129141613,-1.210851781154403,-6.304946038712328,7.569677056290381,-4.666552809774716,-2.254964862224273,0.5789017983750653,TSs60B,0,0,1,0,4,4,5,2
-5.423679077515524,2.383584944842836,-12.605634688131245,10.273694365753192,-7.462796079582217,-1.9221330881131,10.57226833477154,10.209939746931923,-6.214536749039955,-1.673850294165307,TSs303,0,0,0,2,2,0,6,2
-5.681175923315571,7.815470386055241,5.939722318056218,7.178077027298443,-0.631613672551394,-3.0267631017118557,-4.589186901499523,-2.6730613086876596,-2.7840410443751673,-4.848354478129385,TSs120,0,0,0,3,0,2,2,2
-6.100149321490168,5.471685843244234,8.579472657558213,0.866372767665447,5.258261235096965,3.678736839353739,7.592139514506542,-0.25813362263721146,4.004079269472543,-5.47308136905498,TSs132,0,0,0,3,1,3,0,2
-1.5548551588389823,11.06896843850165,-5.894042663437887,-14.473827694623521,5.995205898230746,-1.728050708816663,-4.106292780980536,4.036945335181571,-15.813616644739682,-0.25293855153995054,TSs78,0,0,0,3,2,2,3,2
-1.4325784404745985,8.925752258499914,9.92895923921622,-1.8352188680837251,-6.211174472554311,-7.316107634098634,-1.2584833527293566,0.8123728979718752,-3.0786966870652126,3.6372488047335576,TSs61,0,0,0,3,0,2,2,2
-8.813779045807406,-14.274087742831627,-5.1326549886832655,-3.846741712700737,-10.415935201744402,0.29229013887351346,-3.0332627090818405,2.6850434074982577,-2.56641125498271,-1.4801503120238686,TSs60,0,0,1,0,4,4,5,2
-6.7638450998716,-10.790661292464716,-3.8973316762820978,-5.476216247252092,-10.830043787683326,2.1683245394269766,-5.072003943454428,-3.5840264810569344,1.6148478204997478,-2.560239791007981,TSs10A,0,0,1,0,4,4,5,2
