parent_A,parent_B,G_ij,cluster_A,cluster_B,Tannin_A,Tannin_B,Tannin_midparent,Tannin_absgap,Phenol_A,Phenol_B,Phenol_midparent,Phenol_absgap,Flavonoid_A,Flavonoid_B,Flavonoid_midparent,Flavonoid_absgap,Antioxidant_A,Antioxidant_B,Antioxidant_midparent,Antioxidant_absgap,Seed_Length_A,Seed_Length_B,Seed_Length_midparent,Seed_Length_absgap,Seed_Width_A,Seed_Width_B,Seed_Width_midparent,Seed_Width_absgap,Seed_Thickness_A,Seed_Thickness_B,Seed_Thickness_midparent,Seed_Thickness_absgap,Mass_of_Seeds_A,Mass_of_Seeds_B,Mass_of_Seeds_midparent,Mass_of_Seeds_absgap,Seed_Coat_Tannin_A,Seed_Coat_Tannin_B,Seed_Coat_Tannin_midparent,Seed_Coat_Tannin_absgap,Crude_Protein_A,Crude_Protein_B,Crude_Protein_midparent,Crude_Protein_absgap,Total_Oxalate_A,Total_Oxalate_B,Total_Oxalate_midparent,Total_Oxalate_absgap,Soluble_Oxalate_A,Soluble_Oxalate_B,Soluble_Oxalate_midparent,Soluble_Oxalate_absgap,Insoluble_Oxalate_A,Insoluble_Oxalate_B,Insoluble_Oxalate_midparent,Insoluble_Oxalate_absgap
TSs138B,TSs151B,0.6198198844295151,1,1,858.978665615279,,,,175.220126025799,,,,111.539718004083,,,,394.275470102886,,,,7.93,7.776,7.853,0.15399999999999991,6.209,5.898,6.0535,0.31099999999999994,6.512,5.699,6.105499999999999,0.8129999999999997,0.2498,0.2064,0.2281,0.043399999999999994,904.047672545451,1136.7674734124,1020.4075729789255,232.71980086694907,26.6151428555864,,,,908.59962052182,,,,329.580619047619,,,,579.019001474201,,,
TSs156A,TSs133,0.5991688302129398,1,1,673.027286238732,350.181189808862,511.604238023797,322.84609642987004,227.193040482138,211.66843466716,219.43073757464902,15.524605814978003,87.0933996609076,124.482152977083,105.7877763189953,37.38875331617541,129.392142398117,218.153587437576,173.7728649178465,88.761445039459,7.666,8.543,8.1045,0.8769999999999989,7.115,6.994,7.0545,0.12100000000000044,6.955,6.831,6.893000000000001,0.12399999999999967,0.2889,0.3192,0.30405,0.030299999999999994,956.650402414259,705.489398780134,831.0699005971965,251.161003634125,,,,,,,,,,,,,,,,
TSs282,TSs68,0.5954516368907925,2,2,660.284995971696,345.248520888374,502.766758430035,315.03647508332205,145.065018503903,204.333742009368,174.6993802566355,59.268723505465005,90.9043818134728,106.890690122087,98.8975359677799,15.986308308614198,334.345418483785,223.858773467657,279.102095975721,110.48664501612802,8.552,8.564,8.558,0.012000000000000455,6.501,6.859,6.68,0.35799999999999965,6.3747,6.888,6.631349999999999,0.5133000000000001,0.264,0.5894,0.4267,0.3254,718.698073517234,406.65443278899,562.6762531531119,312.043640728244,,,,,,,,,,,,,,,,
TSs361,TSs155,0.5878581284436406,1,1,697.419649368991,864.012320443296,780.7159849061435,166.59267107430492,274.975748250218,142.67603038409,208.825889317154,132.29971786612796,148.504843097067,179.590054803224,164.0474489501455,31.085211706156997,224.357952411057,247.751741701418,236.05484705623752,23.393789290361013,8.579,7.613,8.096,0.9660000000000002,6.784,5.77,6.276999999999999,1.0140000000000002,6.554,5.826,6.1899999999999995,0.7280000000000006,0.3004,0.2024,0.2514,0.098,969.97090051681,862.649460546495,916.3101805316526,107.32143997031505,36.6822429906542,,,,853.189029158319,,,,307.592219560878,,,,545.59680959744,,,
TSs155,TSs358,0.5838439043294287,1,1,864.012320443296,604.948240539693,734.4802804914945,259.064079903603,142.67603038409,493.280416621162,317.978223502626,350.60438623707194,179.590054803224,106.393859340583,142.9919570719035,73.196195462641,247.751741701418,233.724883943803,240.7383128226105,14.026857757615005,7.613,8.618,8.1155,1.005,5.77,6.819,6.294499999999999,1.0490000000000004,5.826,6.798,6.311999999999999,0.9720000000000004,0.2024,0.3188,0.2606,0.11639999999999998,862.649460546495,743.878474243588,803.2639673950415,118.77098630290698,,30.7540975617775,,,,1033.44238905325,,,,299.878875370553,,,,733.563513682701,,
TSs133,TSs155,0.5823867216831252,1,1,350.181189808862,864.012320443296,607.096755126079,513.831130634434,211.66843466716,142.67603038409,177.17223252562502,68.99240428306999,124.482152977083,179.590054803224,152.0361038901535,55.107901826141,218.153587437576,247.751741701418,232.95266456949702,29.59815426384202,8.543,7.613,8.078,0.9299999999999988,6.994,5.77,6.382,1.2240000000000002,6.831,5.826,6.3285,1.0050000000000008,0.3192,0.2024,0.2608,0.11679999999999999,705.489398780134,862.649460546495,784.0694296633145,157.16006176636097,,,,,,,,,,,,,,,,
TSs151B,TSs155,0.5800427125438443,1,1,,864.012320443296,,,,142.67603038409,,,,179.590054803224,,,,247.751741701418,,,7.776,7.613,7.6945,0.16299999999999937,5.898,5.77,5.834,0.1280000000000001,5.699,5.826,5.762499999999999,0.12699999999999978,0.2064,0.2024,0.2044,0.0040000000000000036,1136.7674734124,862.649460546495,999.7084669794475,274.11801286590503,,,,,,,,,,,,,,,,
TSs10A,TSs282,0.5619597333162988,2,2,618.751573809313,660.284995971696,639.5182848905044,41.53342216238309,177.528308055961,145.065018503903,161.29666327993198,32.463289552058,131.536666527523,90.9043818134728,111.2205241704979,40.632284714050215,355.353844530405,334.345418483785,344.849631507095,21.008426046620002,8.531,8.552,8.5415,0.02099999999999902,6.737,6.501,6.619,0.23599999999999977,6.205,6.3747,6.2898499999999995,0.16969999999999974,0.2811,0.264,0.27255,0.017100000000000004,824.608586964345,718.698073517234,771.6533302407895,105.91051344711104,,,,,,,,,,,,,,,,
TSs217,TSs38,0.5604868452409072,2,2,650.649677652133,400.575314949455,525.612496300794,250.07436270267806,204.223149250866,240.247728703088,222.23543897697698,36.024579452222014,129.634790939371,172.840181782463,151.237486360917,43.205390843092005,521.612935220157,293.755628783359,407.684282001758,227.85730643679807,7.824,8.482,8.152999999999999,0.6579999999999995,6.0,6.353,6.1765,0.35299999999999976,5.659,6.137,5.898,0.47799999999999976,0.2091,0.2692,0.23915,0.06009999999999999,1154.58308288755,645.018580077036,899.800831482293,509.5645028105141,,,,,,,,,,,,,,,,
TSs9,TSs282,0.5519590476259464,2,2,356.311068164509,660.284995971696,508.29803206810254,303.97392780718707,456.124239349046,145.065018503903,300.59462892647446,311.059220845143,88.2927479525769,90.9043818134728,89.59856488302485,2.6116338608958927,322.910399138709,334.345418483785,328.62790881124704,11.435019345076,8.588,8.552,8.57,0.03599999999999959,6.323,6.501,6.412000000000001,0.17799999999999994,6.1,6.3747,6.237349999999999,0.27470000000000017,0.2585,0.264,0.26125,0.005500000000000005,545.742458615884,718.698073517234,632.2202660665589,172.95561490135003,31.6174104236873,,,,1493.576848408,,,,253.838528673519,,,,1239.73831973448,,,
