parent_A,parent_B,r_ij_normalized,G_ij_raw,cluster_A,cluster_B,Tannin_midparent,Tannin_absgap,Phenol_midparent,Phenol_absgap,Flavonoid_midparent,Flavonoid_absgap,Antioxidant_midparent,Antioxidant_absgap,Seed_Length_midparent,Seed_Length_absgap,Seed_Width_midparent,Seed_Width_absgap,Seed_Thickness_midparent,Seed_Thickness_absgap,Mass_of_Seeds_midparent,Mass_of_Seeds_absgap,Seed_Coat_Tannin_midparent,Seed_Coat_Tannin_absgap,Crude_Protein_midparent,Crude_Protein_absgap,Total_Oxalate_midparent,Total_Oxalate_absgap,Soluble_Oxalate_midparent,Soluble_Oxalate_absgap,Insoluble_Oxalate_midparent,Insoluble_Oxalate_absgap
TSs22B,TSs98,-0.18656050613393166,-0.1558799511221642,2,2,825.0054310727609,311.290560245744,134.96698409915496,10.202807339560877,167.41519940349164,6.552197938408597,358.2177779509219,35.614449421930146,8.74440425043664,0.7294740109926501,6.871075550318644,0.3990240782996466,6.661905832511305,0.6722232690439887,0.3126719776749232,0.08029817186255606,903.2441096558205,316.5182546522591,35.132881353241615,3.3658394185753764,,,,,,
TSs287,TSs151B,-0.1855405726272781,-0.1905592988515705,2,1,,,,,,,,,8.328343237246482,0.8548392101136493,6.2393592449328095,0.46452263110909264,5.882584019973532,0.1633993588482241,0.25009447537716806,0.06866204297539347,910.484740542032,452.56546574073604,,,,,,,,
TSs49,TSs155,-0.18523340284696732,-0.2407892208111866,2,1,632.6239659698571,458.49277960313157,189.59052365873112,93.2005345102595,167.8414257250402,22.293160002803774,273.3456268799228,50.76466340909187,8.24420551971561,0.9608527342025486,6.191528064920648,0.5894869752850083,5.937360903483791,0.0579094100788522,0.2388580608410913,0.05329524681143105,792.9342168185319,139.43048745592603,37.13234514597825,1.8241119442078002,,,,,,
TSs49,TSs151B,-0.18523310132045528,-0.2463756147690667,2,1,,,,,,,,,8.312777759503271,0.8237082546272276,6.246684740970708,0.47917362318488976,5.8835999745363186,0.1654312679737977,0.24063456906813907,0.04974223035733549,929.9932232514846,413.54850032183106,,,,,,,,
TSs151B,TSs371,-0.18475354305505073,-0.2470161792176894,1,2,,,,,,,,,8.397336165621798,0.9928250668642793,6.5104025983350535,1.0066093379135816,6.457444976750445,1.31312127240205,0.287712037084903,0.14389716639086342,1102.38949864762,68.75594952955998,,,,,,,,
TSs209,TSs60,-0.18394013723557243,-0.1744738933839018,2,2,275.03446544797333,247.3865393456084,293.9774815303442,330.05171233158103,95.16734225736997,121.52620546766218,270.4903771156924,224.48294375862406,8.272391655088454,0.5645640846321456,6.5276390596006975,0.046538445417237284,5.9532775249674525,0.29632008081284145,0.23215174228398627,0.025137591412724897,581.2117620312196,682.147540488365,36.631973669686474,3.024207414540456,,,,,,
TSs138B,TSs317,-0.18382574498513699,-0.1841068094564541,1,2,767.610937628053,178.52217379306717,162.2481437333663,26.270643009480807,159.4757794335036,95.51789933566235,353.7308987886496,79.26055174263672,8.384294819404513,0.7075982044346265,6.505662571487003,0.46107533885596386,6.383788270948395,0.21081057177827844,0.27456587620475004,0.04050438757668756,984.2484782424254,160.401611393949,39.319625454663225,4.721098369355424,,,,,,
TSs151B,TSs334,-0.18362994429349808,-0.2035911460786429,1,2,,,,,,,,,8.556777140342797,1.3117070163062792,6.2906377171980985,0.5670795756396716,6.130222944652835,0.6586772082068304,0.26532803342410205,0.09912915906926151,1204.433059684475,135.33117254414992,,,,,,,,
TSs138B,TSs333,-0.18339029615462882,-0.1568319352350241,1,2,584.2017950198566,545.3404590094599,127.36270727884035,96.04151591853272,103.9611572165498,15.511345098245258,322.68745595088507,141.34743741816578,8.245467585478576,0.42994373658275187,6.5616810706003434,0.5731123370826463,6.405377305407617,0.16763250285983577,0.2722120028039119,0.03579664077501116,703.049223410447,401.99689827000793,37.45343770096048,0.9887228619499453,,,,,,
TSs22B,TSs166,-0.1829928994407837,-0.211978352444195,2,2,665.2278864524684,8.26452899484093,140.2380687255575,0.33936191324420406,138.35599873273654,51.566203403101596,297.17810475268436,86.46489697454507,8.480211817389705,0.20108914489878238,6.6788890072067195,0.01465099207579712,6.6314271956276984,0.611265995276776,0.2913094662446746,0.037573149002058825,768.8661817288945,47.76239879840705,39.12504293627003,4.618483747481449,,,,,,
TSs156A,TSs3,-0.18206521220863486,-0.20747118023798,1,2,759.0360663960544,173.62102165283954,203.86553507044965,46.49975684405396,124.27785030700761,73.45486822828269,278.64060021761645,296.25492204205415,7.982116529606948,0.34748877340249695,6.775844101825964,0.5601849911334149,6.472260980791087,0.7839782709505467,0.27061314539956893,0.0368625457112397,862.29458521453,188.71163439945803,,,,,,,,
TSs138B,TSs82,-0.18206282750102998,-0.1616166574075555,1,2,629.0353781189203,455.67329281133254,140.02446532516893,70.71799982587557,119.0474470385906,14.66123454583635,355.9190029977566,74.88434332442279,8.517232413103288,0.9734733918321794,6.487133375626435,0.42401694713483007,6.433316055884256,0.11175500190655718,0.28624641779758864,0.0638654707623647,808.6353771856354,190.82459071963092,37.362801230612035,0.8074499212530597,,,,,,
TSs357,TSs51,-0.18201418687487947,-0.1451002366883073,1,2,453.6109028507222,136.73387903854098,181.94384536908356,112.97870926461604,135.3968058796372,25.264578730012985,298.40066854502504,39.62232561780701,8.783528289088494,0.5502606726518966,6.939159572317936,0.6024143212342405,6.359236035681046,0.1346139795692629,0.3165802957744282,0.06875086838674604,822.5881057942261,227.01610165496606,35.16731041273782,4.1983578724183275,,,,,,
TSs155,TSs60,-0.1818109676233006,-0.2105026799558115,1,2,630.2990454461002,463.1426206506453,300.99679704986806,316.01308129253334,167.45922535882158,23.057560735241026,315.3475720851907,134.76855381962756,8.159226425009432,0.7908945447901896,6.22384642979373,0.6541237050311715,5.856761841502699,0.10328871388333294,0.2158966920064998,0.007372509142248046,892.4674964109486,59.63607172890704,38.094239247519425,0.09967625887455256,,,,,,
